object,i_deg,w_deg,node_deg,q_au_1,q_au_2,p_yr,ref,object_name
73P/Schwassmann-Wachmann 3-AQ,11.41369562,198.7713164,69.92072504,0.939006437,5.24,5.43,9,73P/Schwassmann-Wachmann 3-AQ
73P/Schwassmann-Wachmann 3-AR,11.40652255,198.7098466,69.96630168,0.93920476,5.24,5.43,2,73P/Schwassmann-Wachmann 3-AR
73P/Schwassmann-Wachmann 3-AS,11.46096714,198.7247614,69.97402026,0.93882735,5.34,5.56,6,73P/Schwassmann-Wachmann 3-AS
73P/Schwassmann-Wachmann 3-AT,11.33462061,198.8104065,69.84813048,0.93962879,5.06,5.2,2,73P/Schwassmann-Wachmann 3-AT
73P/Schwassmann-Wachmann 3-AU,11.38220585,198.7583062,69.91454526,0.939297959,5.18,5.35,1,73P/Schwassmann-Wachmann 3-AU
73P/Schwassmann-Wachmann 3-AV,11.3951153,198.8335456,69.88524741,0.939024288,5.19,5.36,1,73P/Schwassmann-Wachmann 3-AV
73P/Schwassmann-Wachmann 3-AW,11.23959642,198.8339738,69.79453062,0.940257756,4.89,4.97,2,73P/Schwassmann-Wachmann 3-AW
73P/Schwassmann-Wachmann 3-AX,11.42778528,199.2512703,69.46695211,0.93800954,5.16,5.33,1,73P/Schwassmann-Wachmann 3-AX
73P/Schwassmann-Wachmann 3-AY,11.22586964,198.9220318,69.71151968,0.940193404,4.85,4.92,2,73P/Schwassmann-Wachmann 3-AY
73P/Schwassmann-Wachmann 3-AZ,11.22070941,198.8670389,69.76425986,0.940317778,4.85,4.92,1,73P/Schwassmann-Wachmann 3-AZ
73P/Schwassmann-Wachmann 3-BA,11.27075096,198.6920226,69.9209975,0.94024779,4.98,5.09,1,73P/Schwassmann-Wachmann 3-BA
73P/Schwassmann-Wachmann 3-BB,11.19018461,197.928567,70.47094006,0.942420571,4.99,5.11,1,73P/Schwassmann-Wachmann 3-BB
73P/Schwassmann-Wachmann 3-BC,11.45870615,198.7461327,69.95554651,0.938807405,5.33,5.55,7,73P/Schwassmann-Wachmann 3-BC
73P/Schwassmann-Wachmann 3-BD,10.97454826,196.463131,71.41848297,0.946155584,5.01,5.14,1,73P/Schwassmann-Wachmann 3-BD
73P/Schwassmann-Wachmann 3-BE,11.3165548,199.0041337,69.69353535,0.939421341,4.98,5.09,1,73P/Schwassmann-Wachmann 3-BE
73P/Schwassmann-Wachmann 3-BF,11.32197626,198.8097995,69.83455705,0.939574294,5.04,5.17,2,73P/Schwassmann-Wachmann 3-BF
73P/Schwassmann-Wachmann 3-BG,11.32450054,198.9548257,69.72079452,0.939341834,5.02,5.14,1,73P/Schwassmann-Wachmann 3-BG
73P/Schwassmann-Wachmann 3-BH,11.28940623,198.8380688,69.80392621,0.939816247,4.98,5.09,1,73P/Schwassmann-Wachmann 3-BH
73P/Schwassmann-Wachmann 3-BI,11.30045753,198.9127974,69.75258615,0.939765097,4.98,5.09,3,73P/Schwassmann-Wachmann 3-BI
73P/Schwassmann-Wachmann 3-BJ,11.37022892,198.7979116,69.87876452,0.939252921,5.14,5.3,2,73P/Schwassmann-Wachmann 3-BJ
73P/Schwassmann-Wachmann 3-BK,11.37077721,198.775388,69.89745388,0.939266636,5.15,5.31,2,73P/Schwassmann-Wachmann 3-BK
73P/Schwassmann-Wachmann 3-BL,11.4093615,198.6994292,69.97335799,0.939099662,5.24,5.44,2,73P/Schwassmann-Wachmann 3-BL
73P/Schwassmann-Wachmann 3-BM,11.29433257,198.861349,69.7755882,0.939756863,4.98,5.09,1,73P/Schwassmann-Wachmann 3-BM
73P/Schwassmann-Wachmann 3-BN,11.37744926,198.7947706,69.88153448,0.939185745,5.15,5.32,3,73P/Schwassmann-Wachmann 3-BN
73P/Schwassmann-Wachmann 3-BO,11.37615727,198.7715536,69.89197757,0.939219069,5.16,5.32,3,73P/Schwassmann-Wachmann 3-BO
73P/Schwassmann-Wachmann 3-BP,11.29077484,198.8488389,69.81061093,0.939783268,4.98,5.09,1,73P/Schwassmann-Wachmann 3-BP
73P/Schwassmann-Wachmann 3-BQ,11.38826125,198.8198463,69.86577521,0.939155664,5.17,5.34,2,73P/Schwassmann-Wachmann 3-BQ
73P/Schwassmann-Wachmann 3-BR,11.31924783,198.8412924,69.82671175,0.939601786,5.03,5.16,2,73P/Schwassmann-Wachmann 3-BR
73P/Schwassmann-Wachmann 3-BS,11.44446449,198.7685232,69.93999714,0.938948672,5.29,5.5,1,73P/Schwassmann-Wachmann 3-BS
79P/du Toit-Hartley,3.145618792,281.6893173,280.6403369,1.123805321,4.77,5.06,16,79P/du Toit-Hartley
